(188, 279)
(279, 2)
(80, 96)
(80, 231)
(80, 246)
(317, 302)
(317, 345)
(302, 2)
(96, 341)
(341, 246)
(341, 101)
(345, 205)
(345, 174)
(345, 124)
(191, 119)
(163, 203)
(65, 197)
(65, 333)
(65, 295)
(312, 119)
(312, 152)
(309, 142)
(89, 240)
(89, 169)
(89, 164)
(240, 169)
(256, 83)
(255, 169)
(255, 164)
(206, 56)
(206, 296)
(120, 336)
(120, 328)
(336, 328)
(336, 12)
(260, 213)
(260, 133)
(213, 167)
(52, 220)
(72, 149)
(220, 140)
(220, 109)
(140, 109)
(246, 101)
(266, 174)
(266, 124)
(203, 333)
(208, 83)
(208, 62)
(295, 94)
(337, 240)
(337, 169)
(21, 62)
(21, 297)
(62, 83)
(237, 330)
(73, 320)
(26, 296)
(296, 217)
(217, 224)
(12, 88)
(133, 167)
(185, 109)
(98, 149)
(200, 109)
(276, 16)
(276, 179)
(16, 215)
(16, 322)
(297, 320)
(297, 180)
(179, 64)
(64, 41)
(64, 320)
(64, 107)
(90, 224)
(180, 320)
(180, 73)
(41, 90)
(201, 236)
(157, 28)
(224, 106)
(106, 22)
(106, 181)
(301, 28)
(301, 315)
(301, 196)
(126, 28)
(126, 59)
(126, 196)
(281, 154)
(154, 59)
(315, 221)
(221, 196)
(221, 14)
(221, 226)
(196, 14)
(14, 98)
(226, 149)
(66, 292)
(178, 92)
(178, 254)
(92, 95)
(95, 343)
(346, 151)
(346, 99)
(346, 17)
(18, 254)
(186, 282)
(151, 202)
(151, 348)
(202, 50)
(322, 74)
(322, 290)
(319, 290)
(319, 107)
(319, 269)
(38, 40)
(272, 332)
(22, 181)
(314, 93)
(314, 145)
(181, 93)
(181, 58)
(1, 153)
(1, 323)
(292, 138)
(292, 92)
(257, 138)
(257, 166)
(257, 27)
(138, 166)
(304, 247)
(247, 229)
(57, 17)
(57, 99)
(57, 229)
(57, 49)
(57, 306)
(17, 99)
(17, 348)
(17, 229)
(17, 151)
(99, 202)
(348, 3)
(229, 147)
(49, 3)
(49, 147)
(3, 202)
(305, 141)
(305, 55)
(305, 288)
(141, 55)
(269, 272)
(145, 168)
(325, 265)
(168, 216)
(36, 20)
(36, 233)
(160, 20)
(323, 219)
(219, 19)
(233, 235)
(42, 214)
(42, 68)
(123, 117)
(171, 63)
(171, 138)
(63, 27)
(63, 166)
(27, 175)
(27, 166)
(175, 304)
(175, 166)
(85, 340)
(85, 306)
(195, 44)
(340, 306)
(340, 249)
(340, 347)
(340, 46)
(306, 249)
(249, 147)
(23, 147)
(288, 9)
(0, 118)
(0, 118)
(0, 118)
(0, 118)
(0, 118)
(273, 210)
(273, 170)
(37, 10)
(37, 54)
(10, 155)
(10, 19)
(31, 165)
(31, 308)
(165, 331)
(155, 324)
(19, 233)
(235, 104)
(104, 6)
(104, 289)
(6, 275)
(11, 105)
(115, 46)
(115, 340)
(300, 46)
(300, 67)
(300, 162)
(46, 67)
(347, 67)
(347, 162)
(67, 47)
(293, 91)
(91, 261)
(261, 44)
(148, 9)
(335, 137)
(335, 173)
(137, 15)
(0, 118)
(248, 30)
(248, 118)
(0, 118)
(239, 30)
(30, 118)
(0, 118)
(0, 118)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(118, 0)
(114, 139)
(210, 170)
(210, 37)
(170, 39)
(170, 190)
(170, 37)
(39, 344)
(190, 82)
(7, 61)
(7, 212)
(7, 232)
(61, 165)
(121, 183)
(121, 275)
(183, 275)
(308, 75)
(308, 11)
(75, 204)
(321, 324)
(275, 204)
(4, 105)
(238, 161)
(238, 223)
(161, 76)
(189, 129)
(225, 129)
(225, 134)
(268, 243)
(268, 134)
(268, 287)
(243, 287)
(243, 24)
(243, 313)
(287, 267)
(287, 24)
(267, 300)
(24, 128)
(193, 47)
(193, 70)
(313, 122)
(313, 102)
(122, 15)
(29, 158)
(0, 118)
(0, 118)
(0, 118)
(97, 277)
(97, 112)
(253, 139)
(253, 177)
(0, 118)
(84, 187)
(277, 187)
(277, 25)
(294, 310)
(310, 139)
(310, 252)
(130, 212)
(150, 8)
(150, 25)
(8, 329)
(146, 344)
(344, 54)
(283, 232)
(283, 212)
(283, 331)
(283, 165)
(232, 31)
(342, 212)
(342, 33)
(342, 227)
(342, 113)
(212, 165)
(349, 144)
(349, 286)
(144, 286)
(144, 128)
(286, 326)
(280, 245)
(280, 207)
(176, 70)
(102, 234)
(182, 45)
(234, 192)
(234, 45)
(45, 307)
(45, 327)
(284, 251)
(284, 111)
(299, 112)
(299, 184)
(127, 111)
(127, 294)
(111, 69)
(69, 177)
(69, 310)
(177, 316)
(177, 139)
(177, 310)
(252, 222)
(316, 81)
(81, 116)
(81, 222)
(271, 116)
(271, 113)
(271, 270)
(116, 270)
(131, 291)
(131, 33)
(78, 227)
(78, 113)
(78, 270)
(78, 86)
(227, 113)
(227, 172)
(172, 33)
(291, 71)
(71, 258)
(274, 2)
(274, 35)
(100, 326)
(199, 198)
(198, 96)
(250, 60)
(250, 35)
(60, 218)
(60, 245)
(278, 35)
(278, 218)
(278, 159)
(278, 245)
(245, 207)
(245, 218)
(207, 259)
(218, 205)
(159, 205)
(259, 197)
(339, 303)
(339, 135)
(303, 338)
(303, 135)
(338, 152)
(338, 125)
(338, 135)
(338, 312)
(135, 125)
(156, 152)
(156, 125)
(152, 125)
(125, 164)
(311, 184)
(311, 56)
(132, 328)
(5, 79)
(285, 184)
(87, 79)
(87, 270)
(79, 136)
(298, 136)
(298, 32)
(32, 108)
(32, 71)
